"","size","persistence","delta_log_consumption","size_dmnd","persistence_dmnd","year_quarter"
"1",0.309771433621118,0.34321603526129,NA,-0.593190966462502,NA,1968 Q1
"2",1.01342038057758,0.545226385945064,0.0128515295661558,0.110457980493954,NA,1968 Q2
"3",0.620643768576609,0.426778698687915,0.0158516929292993,-0.282318631507012,NA,1968 Q3
"4",0.788976602291309,0.486068601377759,0.00180307860041751,-0.113985797792312,NA,1968 Q4
"5",0.919902139624964,0.523205653103843,0.00896694665152609,0.0169397395413435,NA,1969 Q1
"6",0.360824228210708,0.34474039576842,0.00413604992920291,-0.542138171872913,NA,1969 Q2
"7",0.508421879433476,0.381977765258329,0.00202994233623777,-0.394540520650145,NA,1969 Q3
"8",0.378672783983402,0.342741212201606,0.00505690078897381,-0.524289616100219,NA,1969 Q4
"9",0.378672783983402,0.342741212201606,0.00371314816629642,-0.524289616100219,NA,1970 Q1
"10",0.770272954100787,0.480114825061074,0.0014437716327329,-0.132689445982834,NA,1970 Q2
"11",0.938605787815486,0.527891716026958,0.0053176640057071,0.0356433877318657,NA,1970 Q3
"12",0.863791195053398,0.50824244718048,-0.00619623324954333,-0.039171205030223,NA,1970 Q4
"13",0.957309436006009,0.532432943734106,0.0159445331035499,0.0543470359223879,NA,1971 Q1
"14",1.27527145524488,0.591241611943562,0.0062827431794954,0.372309055161264,NA,1971 Q2
"15",1.08823497333966,0.560495695881364,0.00483906490820374,0.185272573256042,NA,1971 Q3
"16",1.0321240287681,0.549227363156254,0.0133537644458723,0.129161628684476,NA,1971 Q4
"17",1.08823497333966,0.560495695881364,0.0107350576638083,0.185272573256042,NA,1972 Q1
"18",1.33138239981645,0.598773729007502,0.0165058321802753,0.42841999973283,NA,1972 Q2
"19",1.70545536362689,0.635433519711576,0.0127100591614528,0.802492963543274,NA,1972 Q3
"20",1.48101158534063,0.615904029705186,0.0205282438039394,0.57804918525701,NA,1972 Q4
"21",1.46230793715011,0.613970774104451,0.0159345732402549,0.559345537066485,NA,1973 Q1
"22",1.31267875162593,0.596337693989859,-0.00268486569157744,0.409716351542308,NA,1973 Q2
"23",1.44360428895958,0.611982324082778,0.00106362145107219,0.540641888875963,NA,1973 Q3
"24",1.08823497333966,0.560495695881364,-0.00544196131096797,0.185272573256042,NA,1973 Q4
"25",1.08823497333966,0.560495695881364,-0.011030459436622,0.185272573256042,NA,1974 Q1
"26",0.919902139624964,0.523205653103843,0.00142097957806264,0.0169397395413435,NA,1974 Q2
"27",0.845087546862876,0.502942207222081,0.00175921504951226,-0.0578748532207451,NA,1974 Q3
"28",0.863791195053398,0.50824244718048,-0.0172713889512401,-0.039171205030223,NA,1974 Q4
"29",0.845087546862876,0.502942207222081,0.00632549550175021,-0.0578748532207451,NA,1975 Q1
"30",1.33138239981645,0.598773729007502,0.0138899028226334,0.42841999973283,NA,1975 Q2
"31",1.10693862153019,0.564020053582242,0.0111871195113178,0.203976221446564,NA,1975 Q3
"32",1.27527145524488,0.591241611943562,0.00807331575244596,0.372309055161264,NA,1975 Q4
"33",1.23786415886384,0.585828074540138,0.0176441216716867,0.334901758780219,NA,1976 Q1
"34",1.94860279010368,0.650847988467421,0.00705795861119896,1.04564039002006,NA,1976 Q2
"35",1.85508454915107,0.645480208221856,0.00792136703019608,0.952122149067451,NA,1976 Q3
"36",1.85508454915107,0.645480208221856,0.0101995383983802,0.952122149067451,NA,1976 Q4
"37",1.85508454915107,0.645480208221856,0.00941258072984397,0.952122149067451,NA,1977 Q1
"38",1.48101158534063,0.615904029705186,0.00299550897979906,0.57804918525701,NA,1977 Q2
"39",1.48101158534063,0.615904029705186,0.00658998200796113,0.57804918525701,NA,1977 Q3
"40",1.78026995638898,0.640703425775712,0.0121245008581159,0.877307556305363,NA,1977 Q4
"41",1.53712252991219,0.621391646746661,0.00323932720207232,0.634160129828574,NA,1978 Q1
"42",1.53712252991219,0.621391646746661,0.0186141772776605,0.634160129828574,NA,1978 Q2
"43",1.42490064076906,0.609936662140062,0.00125890693163022,0.521938240685441,NA,1978 Q3
"44",1.44360428895958,0.611982324082778,0.00511997905935502,0.540641888875963,NA,1978 Q4
"45",1.33138239981645,0.598773729007502,0.00265006780257693,0.42841999973283,NA,1979 Q1
"46",1.42490064076906,0.609936662140062,-0.00325105945686488,0.521938240685441,NA,1979 Q2
"47",1.2004568624828,0.580073125772956,0.00664089321137595,0.297494462399175,NA,1979 Q3
"48",1.46230793715011,0.613970774104451,-0.00059737158287731,0.559345537066485,NA,1979 Q4
"49",1.46230793715011,0.613970774104451,-0.00424162915437876,0.559345537066485,NA,1980 Q1
"50",1.27527145524488,0.591241611943562,-0.025578137321606,0.372309055161264,NA,1980 Q2
"51",1.40619699257854,0.607831689667467,0.0079205299227656,0.503234592494921,NA,1980 Q3
"52",1.53712252991219,0.621391646746661,0.0106822937073758,0.634160129828574,NA,1980 Q4
"53",1.53712252991219,0.621391646746661,0.00130843962102389,0.634160129828574,NA,1981 Q1
"54",1.3687896961975,0.603434996517463,-0.00216488442009144,0.465827296113877,NA,1981 Q2
"55",1.31267875162593,0.596337693989859,0.0018630887334794,0.409716351542308,NA,1981 Q3
"56",1.48101158534063,0.615904029705186,-0.00945191398277956,0.57804918525701,NA,1981 Q4
"57",1.48101158534063,0.615904029705186,0.00521718291146556,0.57804918525701,NA,1982 Q1
"58",1.53712252991219,0.621391646746661,0.00080799923595975,0.634160129828574,NA,1982 Q2
"59",1.46230793715011,0.613970774104451,0.00413078014203272,0.559345537066485,NA,1982 Q3
"60",1.31267875162593,0.596337693989859,0.0149193197157445,0.409716351542308,NA,1982 Q4
"61",1.31267875162593,0.596337693989859,0.00779481006381566,0.409716351542308,NA,1983 Q1
"62",0.620643768576609,0.426778698687915,0.0181159081428941,-0.282318631507012,NA,1983 Q2
"63",0.620643768576609,0.426778698687915,0.0153252364822283,-0.282318631507012,NA,1983 Q3
"64",0.620643768576609,0.426778698687915,0.0134540703388133,-0.282318631507012,NA,1983 Q4
"65",0.620643768576609,0.426778698687915,0.0063569439089477,-0.282318631507012,NA,1984 Q1
"66",1.16304956610175,0.573951159954235,0.0118574802897733,0.260087166018131,NA,1984 Q2
"67",1.31267875162593,0.596337693989859,0.00496050989618979,0.409716351542308,NA,1984 Q3
"68",1.31267875162593,0.596337693989859,0.0104374138660042,0.409716351542308,NA,1984 Q4
"69",1.01342038057758,0.545226385945064,0.0150304332604581,0.110457980493954,NA,1985 Q1
"70",1.06953132514914,0.556858058536296,0.00698789980497949,0.16656892506552,NA,1985 Q2
"71",0.938605787815486,0.527891716026958,0.0162776899239905,0.0356433877318657,NA,1985 Q3
"72",0.938605787815486,0.527891716026958,-0.00034916201471979,0.0356433877318657,NA,1985 Q4
"73",0.863791195053398,0.50824244718048,0.0067434072509247,-0.039171205030223,NA,1986 Q1
"74",0.863791195053398,0.50824244718048,0.00872048351407706,-0.039171205030223,NA,1986 Q2
"75",0.863791195053398,0.50824244718048,0.0150590478824775,-0.039171205030223,NA,1986 Q3
"76",0.845087546862876,0.502942207222081,0.00371904747821894,-0.0578748532207451,NA,1986 Q4
"77",1.12564226972071,0.567434943190492,-0.0010129147485447,0.222679869637086,NA,1987 Q1
"78",0.489718231242953,0.37444073911969,0.0114200586165509,-0.413244168840667,NA,1987 Q2
"79",0.508421879433476,0.381977765258329,0.00889411955905572,-0.394540520650145,NA,1987 Q3
"80",0.343160009073202,0.346676423961375,-0.0003724626028525,-0.559802391010419,NA,1987 Q4
"81",0.343160009073202,0.346676423961375,0.0155252009394289,-0.559802391010419,NA,1988 Q1
"82",0.770272954100787,0.480114825061074,0.00528413553731966,-0.132689445982834,NA,1988 Q2
"83",0.938605787815486,0.527891716026958,0.00622375109520945,0.0356433877318657,NA,1988 Q3
"84",1.23786415886384,0.585828074540138,0.00882441248323218,0.334901758780219,NA,1988 Q4
"85",1.23786415886384,0.585828074540138,0.00263221018213855,0.334901758780219,NA,1989 Q1
"86",0.601940120386086,0.419489964254431,0.00238692081341974,-0.301022279697534,NA,1989 Q2
"87",0.770272954100787,0.480114825061074,0.00689002488120316,-0.132689445982834,NA,1989 Q3
"88",0.770272954100787,0.480114825061074,0.00161662397450257,-0.132689445982834,NA,1989 Q4
"89",0.770272954100787,0.480114825061074,0.00612727761451737,-0.132689445982834,NA,1990 Q1
"90",1.2004568624828,0.580073125772956,-7.83177350918152e-05,0.297494462399175,NA,1990 Q2
"91",1.3687896961975,0.603434996517463,0.00043067165867327,0.465827296113877,NA,1990 Q3
"92",1.3687896961975,0.603434996517463,-0.0111790182101075,0.465827296113877,NA,1990 Q4
"93",1.3687896961975,0.603434996517463,-0.00687151433763233,0.465827296113877,NA,1991 Q1
"94",1.51841888172167,0.619612638800515,0.00508866487270332,0.615456481638054,NA,1991 Q2
"95",1.51841888172167,0.619612638800515,0.00142653376545354,0.615456481638054,NA,1991 Q3
"96",1.51841888172167,0.619612638800515,-0.00392787507320591,0.615456481638054,NA,1991 Q4
"97",1.38749334438802,0.605665224169718,0.0156197708837702,0.484530944304399,NA,1992 Q1
"98",1.31267875162593,0.596337693989859,0.00339917106289001,0.409716351542308,NA,1992 Q2
"99",1.16304956610175,0.573951159954235,0.00699629719457562,0.260087166018131,NA,1992 Q3
"100",1.16304956610175,0.573951159954235,0.00836986353034419,0.260087166018131,NA,1992 Q4
"101",1.16304956610175,0.573951159954235,0.00088303616587737,0.260087166018131,NA,1993 Q1
"102",1.01342038057758,0.545226385945064,0.0060450886157728,0.110457980493954,NA,1993 Q2
"103",1.06953132514914,0.556858058536296,0.00763783090968673,0.16656892506552,NA,1993 Q3
"104",1.08823497333966,0.560495695881364,0.0055491733722679,0.185272573256042,NA,1993 Q4
"105",1.08823497333966,0.560495695881364,0.00869570696755417,0.185272573256042,NA,1994 Q1
"106",1.51841888172167,0.619612638800515,0.00480260039643099,0.615456481638054,NA,1994 Q2
"107",1.46230793715011,0.613970774104451,0.00437296872373771,0.559345537066485,NA,1994 Q3
"108",1.53712252991219,0.621391646746661,0.00769872114523196,0.634160129828574,NA,1994 Q4
"109",1.53712252991219,0.621391646746661,-0.00018348960582947,0.634160129828574,NA,1995 Q1
"110",1.10693862153019,0.564020053582242,0.00589151827617052,0.203976221446564,NA,1995 Q2
"111",1.10693862153019,0.564020053582242,0.0058207382038109,0.203976221446564,NA,1995 Q3
"112",1.10693862153019,0.564020053582242,0.00387379880912597,0.203976221446564,NA,1995 Q4
"113",1.49971523353115,0.617784030061552,0.00669838286728108,0.596752833447532,NA,1996 Q1
"114",1.33138239981645,0.598773729007502,0.00782971769562835,0.42841999973283,NA,1996 Q2
"115",1.23786415886384,0.585828074540138,0.00280944013805318,0.334901758780219,NA,1996 Q3
"116",1.23786415886384,0.585828074540138,0.00474740493419468,0.334901758780219,NA,1996 Q4
"117",1.23786415886384,0.585828074540138,0.00781584037864391,0.334901758780219,NA,1997 Q1
"118",1.9673064382942,0.651849201665532,0.00164689842224064,1.06434403821058,NA,1997 Q2
"119",1.79897360457951,0.641941356615329,0.0135966625623674,0.896011204495885,NA,1997 Q3
"120",1.79897360457951,0.641941356615329,0.00873458097883173,0.896011204495885,NA,1997 Q4
"121",1.63064077086481,0.629600594036614,0.00750421367834697,0.727678370781187,NA,1998 Q1
"122",1.40619699257854,0.607831689667467,0.014741121361995,0.503234592494921,NA,1998 Q2
"123",1.53712252991219,0.621391646746661,0.00982964447910994,0.634160129828574,NA,1998 Q3
"124",1.53712252991219,0.621391646746661,0.0113088691425993,0.634160129828574,NA,1998 Q4
"125",1.27527145524488,0.591241611943562,0.00770741895112792,0.372309055161264,NA,1999 Q1
"126",0.508421879433476,0.381977765258329,0.0124474215070673,-0.394540520650145,NA,1999 Q2
"127",0.396521339756096,0.341449438524958,0.0080005547080404,-0.506441060327525,NA,1999 Q3
"128",0.396521339756096,0.341449438524958,0.0115355422725187,-0.506441060327525,NA,1999 Q4
"129",0.396521339756096,0.341449438524958,0.0124625861505034,-0.506441060327525,NA,2000 Q1
"130",1.05082767695862,0.553103260441286,0.00682278968597849,0.147865276874998,NA,2000 Q2
"131",1.05082767695862,0.553103260441286,0.00680725241882918,0.147865276874998,NA,2000 Q3
"132",1.05082767695862,0.553103260441286,0.00605969719597432,0.147865276874998,NA,2000 Q4
"133",1.14434591791123,0.570744096918928,0.00134162722892661,0.241383517827609,NA,2001 Q1
"134",1.14434591791123,0.570744096918928,-0.00036571986266409,0.241383517827609,NA,2001 Q2
"135",1.14434591791123,0.570744096918928,0.00088359415264172,0.241383517827609,NA,2001 Q3
"136",1.14434591791123,0.570744096918928,0.013461596310071,0.241383517827609,NA,2001 Q4
"137",0.601940120386086,0.419489964254431,3.00476254881943e-05,-0.301022279697534,NA,2002 Q1
"138",0.396521339756096,0.341449438524958,0.00282045314191848,-0.506441060327525,NA,2002 Q2
"139",0.396521339756096,0.341449438524958,0.00445448351624478,-0.506441060327525,NA,2002 Q3
"140",0.452310934861909,0.359605111273209,0.00309745303639097,-0.450651465221712,NA,2002 Q4
"141",0.129449770239692,0.401202897289578,0.00282104387471982,-0.773512629843929,NA,2003 Q1
"142",0.129449770239692,0.401202897289578,0.00917992780147436,-0.773512629843929,NA,2003 Q2
"143",0.129449770239692,0.401202897289578,0.0115682524011884,-0.773512629843929,NA,2003 Q3
"144",0.142136837572386,0.386905839910885,0.00446287001489765,-0.760825562511234,NA,2003 Q4
"145",0.54582917581452,0.397104803149224,0.00734630156640037,-0.357133224269101,NA,2004 Q1
"146",0.54582917581452,0.397104803149224,0.00323824271740492,-0.357133224269101,NA,2004 Q2
"147",0.54582917581452,0.397104803149224,0.00919880608974211,-0.357133224269101,NA,2004 Q3
"148",0.54582917581452,0.397104803149224,0.00877780434576714,-0.357133224269101,NA,2004 Q4
"149",0.527125527623998,0.389543457694673,0.00420628196517292,-0.375836872459623,NA,2005 Q1
"150",0.527125527623998,0.389543457694673,0.00888696631890618,-0.375836872459623,NA,2005 Q2
"151",0.863791195053398,0.50824244718048,0.00572481063489327,-0.039171205030223,NA,2005 Q3
"152",1.05082767695862,0.553103260441286,-0.00066206898970122,0.147865276874998,NA,2005 Q4
"153",1.12564226972071,0.567434943190492,0.00865497015691119,0.222679869637086,NA,2006 Q1
"154",0.788976602291309,0.486068601377759,0.00292298024073112,-0.113985797792312,NA,2006 Q2
"155",0.957309436006009,0.532432943734106,0.00381160276332793,0.0543470359223879,NA,2006 Q3
"156",0.863791195053398,0.50824244718048,0.00693243677564404,-0.039171205030223,NA,2006 Q4
"157",1.10693862153019,0.564020053582242,0.00393224132422887,0.203976221446564,NA,2007 Q1
"158",1.33138239981645,0.598773729007502,0.00037625306149458,0.42841999973283,NA,2007 Q2
"159",1.33138239981645,0.598773729007502,0.00407594686355317,0.42841999973283,NA,2007 Q3
"160",1.33138239981645,0.598773729007502,0.00139059764613769,0.42841999973283,NA,2007 Q4
"161",1.61193712267429,0.628045089203485,-0.00356058041445984,0.708974722590665,NA,2008 Q1
"162",1.61193712267429,0.628045089203485,0.00056304043313204,0.708974722590665,NA,2008 Q2
"163",1.61193712267429,0.628045089203485,-0.0101835520001448,0.708974722590665,NA,2008 Q3
"164",1.79897360457951,0.641941356615329,-0.011383255184807,0.896011204495885,NA,2008 Q4
"165",0.0411172149851227,0.269601783679642,-0.00455681702059607,-0.861845185098498,NA,2009 Q1
"166",0.066998428690448,0.381867144115295,-0.00698521593957224,-0.835963971393173,NA,2009 Q2
"167",0.066998428690448,0.381867144115295,0.00439561147303813,-0.835963971393173,NA,2009 Q3
"168",0.066998428690448,0.381867144115295,-0.00339868524608278,-0.835963971393173,NA,2009 Q4
"169",0.154823904905081,0.370660841772046,0.00378479628538209,-0.748138495178539,NA,2010 Q1
"170",0.154823904905081,0.370660841772046,0.00700677437634489,-0.748138495178539,NA,2010 Q2
"171",0.154823904905081,0.370660841772046,0.00499830333878215,-0.748138495178539,NA,2010 Q3
"172",0.183890261286175,0.351570500320984,0.00394274027810582,-0.719072138797445,NA,2010 Q4
"173",0.259688570442993,0.341978910418302,0.00203326490283828,-0.643273829640627,NA,2011 Q1
"174",0.0969610273752275,0.431119378715355,-0.00078570561757551,-0.806001372708393,NA,2011 Q2
"175",0.0969610273752275,0.431119378715355,0.00089403037530466,-0.806001372708393,NA,2011 Q3
"176",0.0969610273752275,0.431119378715355,-0.00035209837450622,-0.806001372708393,NA,2011 Q4
"177",0,NA,0.00540322805838223,-0.902962400083621,NA,2012 Q1
"178",0,NA,-2.6943647362998e-05,-0.902962400083621,NA,2012 Q2
"179",0,NA,-5.38894727046824e-05,-0.902962400083621,NA,2012 Q3
"180",0,NA,0.00191130013093677,-0.902962400083621,NA,2012 Q4
"181",0,NA,0.00485600643022366,-0.902962400083621,NA,2013 Q1
"182",0,NA,0.00115017867195633,-0.902962400083621,NA,2013 Q2
"183",0,NA,0.00197628522821169,-0.902962400083621,NA,2013 Q3
"184",0.00579824721438524,-0.0691024710229705,0.00664789982235803,-0.897164152869235,NA,2013 Q4
"185",0.0411172149851227,0.269601783679642,0.0017741534397171,-0.861845185098498,NA,2014 Q1
"186",0.0721746714315131,0.392261333158738,0.00774809515895392,-0.830787728652108,NA,2014 Q2
"187",0.154823904905081,0.370660841772046,0.00766247194806091,-0.748138495178539,NA,2014 Q3
"188",0.154823904905081,0.370660841772046,0.00928333603990161,-0.748138495178539,NA,2014 Q4
"189",0,NA,0.00591900436194237,-0.902962400083621,NA,2015 Q1
"190",0,NA,0.00506757841230687,-0.902962400083621,NA,2015 Q2
"191",0,NA,0.00488961169767599,-0.902962400083621,NA,2015 Q3
"192",0,NA,0.00195424094274621,-0.902962400083621,NA,2015 Q4
"193",0.02307699977283,0.235840904571606,0.00573907803502216,-0.879885400310791,NA,2016 Q1
"194",0.02307699977283,0.235840904571606,0.0031462792915935,-0.879885400310791,NA,2016 Q2
"195",0.02307699977283,0.235840904571606,0.00491352204388384,-0.879885400310791,NA,2016 Q3
"196",0.02307699977283,0.235840904571606,0.00319584812102747,-0.879885400310791,NA,2016 Q4
"197",0,NA,0.00613826651784599,-0.902962400083621,NA,2017 Q1
"198",0,NA,0.00341314142188409,-0.902962400083621,NA,2017 Q2
"199",0,NA,0.00495056612466627,-0.902962400083621,NA,2017 Q3
"200",0.019621249261141,0.225227501032299,0.00919546709310026,-0.88334115082248,NA,2017 Q4
"201",0.183890261286175,0.351570500320984,0.00599494532363032,-0.719072138797445,NA,2018 Q1
"202",0.309771433621118,0.34321603526129,0.0040088925405346,-0.593190966462502,NA,2018 Q2
